"","trait","mean","year"
"1","BLSSEV",34.9548872180451,"2020"
"2","BLSSEV",14.3376623376623,"2022_OLA"
"3","BLSSEV",13.3141592920354,"2019"
"4","BLSSEV",12.6056782334385,"2021_SAL"
"5","BLSSEV",11.3515151515152,"2022_SAL"
"6","BLSSEV",10.2,"2021_OLA"
"7","BLSSEV",NA,"2018"
"8","FHBD3G",2.61,"2021_OLA"
"9","FHBD3G",1.26,"2021_SAL"
"10","FHBD3G",0.751604938271605,"2018"
"11","FHBD3G",0.483185840707965,"2019"
"12","FHBD3G",0,"2020"
"13","FHBD3G",NA,"2022_SAL"
"14","FHBD3G",NA,"2022_OLA"
"15","FHBD3G.DON",2.68262032085561,"2018"
"16","FHBD3G.DON",0.273614190687361,"2019"
"17","FHBD3G.DON",0.0699092415,"2021_SAL"
"18","FHBD3G.DON",0.0236642507,"2021_OLA"
"19","FHBD3G.DON",0,"2020"
"20","FHBD3G.DON",NA,"2022_SAL"
"21","FHBD3G.DON",NA,"2022_OLA"
"22","FHBDISIND",2.83403805629003,"2022_SAL"
"23","FHBDISIND",2.06689728704194,"2022_OLA"
"24","FHBDISIND",1.76971275667168,"2020"
"25","FHBDISIND",1.75979014679245,"2021_OLA"
"26","FHBDISIND",1.49312881012987,"2021_SAL"
"27","FHBDISIND",0.999926223931111,"2019"
"28","FHBDISIND",0.558562833300926,"2018"
"29","FHBDON",19.3814696485623,"2021_OLA"
"30","FHBDON",9.59883381924198,"2022_OLA"
"31","FHBDON",3.03229813664596,"2021_SAL"
"32","FHBDON",3.00154867256637,"2019"
"33","FHBDON",0.532592592592593,"2018"
"34","FHBDON",0.252647975077882,"2020"
"35","FHBDON",0.132267441860465,"2022_SAL"
"36","FHBSPKINC",94.0033488501887,"2021_OLA"
"37","FHBSPKINC",85.6769141541692,"2022_SAL"
"38","FHBSPKINC",84.169065926416,"2020"
"39","FHBSPKINC",78.7827209354839,"2022_OLA"
"40","FHBSPKINC",75.7286278227273,"2021_SAL"
"41","FHBSPKINC",57.294120826,"2019"
"42","FHBSPKINC",41.0171984234513,"2018"
"43","FHBZEA",1.08483965014577,"2022_OLA"
"44","FHBZEA",0.0691860465116279,"2022_SAL"
"45","GLBLSEV",2.6036866359447,"2019"
"46","GLBLSEV",2.49624060150376,"2020"
"47","GLBLSEV",0.848387096774194,"2021_SAL"
"48","GLBLSEV",NA,"2018"
"49","GLBLSEV",NA,"2021_OLA"
"50","GLBLSEV",NA,"2022_SAL"
"51","GLBLSEV",NA,"2022_OLA"
"52","HSATIVLSEV",14.0838709677419,"2022_OLA"
"53","HSATIVLSEV",11.2044728434505,"2021_SAL"
"54","HSATIVLSEV",10.7814569536424,"2021_OLA"
"55","HSATIVLSEV",9.24115044247788,"2019"
"56","HSATIVLSEV",5.15454545454545,"2022_SAL"
"57","HSATIVLSEV",3.6265664160401,"2020"
"58","HSATIVLSEV",NA,"2018"
